Fam_ID,Membership,ID,TGLA227_1,TGLA227_2,BM2113_1,BM2113_2,TGLA53_1,TGLA53_2,ETH10_1,ETH10_2,SPS115_1,SPS115_2,TGLA126_1,TGLA126_2,TGLA122_1,TGLA122_2,INRA23_1,INRA23_2,ETH3_1,ETH3_2,ETH225_1,ETH225_2,BM1824_1,BM1824_2
Fam_408,C,Fam_408_C,88.38,105.34,132.72,136.64,156.18,160.22,216.84,216.84,243.73,243.73,118.68,120.74,142.33,164.56,208.26,212.03,114.48,125.10,144.65,148.79,179.10,181.24
Fam_408,M,Fam_408_M,88.38,90.60,123.04,136.66,160.22,184.18,216.88,216.88,243.77,243.77,118.72,120.87,142.29,164.55,204.48,212.08,114.65,114.65,144.59,144.59,179.17,179.17
Fam_409,F,Fam_409_F,88.37,99.18,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_409,C,Fam_409_C,88.21,88.21,125.00,134.70,160.11,166.22,214.95,216.85,243.60,255.17,116.57,116.57,142.33,164.37,204.42,212.00,112.46,114.51,146.85,146.85,183.10,189.33
Fam_409,M,Fam_409_M,81.76,88.33,132.74,134.63,158.17,160.22,214.93,216.81,243.74,243.74,116.59,116.59,142.33,142.33,209.18,213.05,112.53,114.56,146.73,155.78,179.06,183.23
Fam_410,F,Fam_410_F,88.37,99.18,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_410,C,Fam_410_C,81.57,98.87,124.79,136.49,158.02,166.06,214.87,216.68,243.57,243.57,116.43,124.90,142.12,162.21,204.35,204.35,114.47,122.91,137.97,146.69,181.02,189.25
Fam_410,M,Fam_410_M,81.56,81.56,134.57,136.61,151.95,158.02,216.76,216.76,243.61,243.61,116.58,124.94,142.20,142.20,204.24,204.24,114.51,122.95,138.09,146.60,181.03,189.36
Fam_411,F,Fam_411_F,88.37,99.18,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_411,C,Fam_411_C,88.79,99.61,125.12,125.12,158.43,166.53,215.15,217.00,243.93,255.49,123.02,123.02,142.61,164.72,201.62,212.95,125.36,125.36,144.82,147.01,189.55,189.55
Fam_411,M,Fam_411_M,99.49,99.49,125.24,130.89,158.43,160.61,216.98,218.96,243.95,247.67,118.91,123.12,142.62,142.62,209.19,212.91,114.84,125.49,144.96,144.96,181.31,189.51
Fam_412,F,Fam_412_F,80.15,91.29,123.17,134.82,164.76,164.76,215.49,215.49,242.12,245.85,117.78,126.34,140.72,140.72,203.89,203.89,113.21,123.93,142.30,154.19,180.18,188.50
